name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki
1992 Gryffindor vs Slytherin Quidditch match spectators,1992-gryffindor-vs-slytherin-quidditch-match-spectators,{},,,,,,,{},,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/1992_Gryffindor_vs_Slytherin_Quidditch_match_spectators
1996 Gryffindor Quidditch Keeper trials spectators,1996-gryffindor-quidditch-keeper-trials-spectators,{},,,,,,,{},,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/1996_Gryffindor_Quidditch_Keeper_trials_spectators
2-Headed Baby,2-headed-baby,{},,,,Before 1927,,,{},Male (most likely),,,,https://static.wikia.nocookie.net/harrypotter/images/a/a6/2HeadedBaby.jpg,"{""Circus performers""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/2-Headed_Baby
A. Osborn,a-osborn,{},,Muggle,,,,,{},Male,,,,,"{""Author""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/A._Osborn
A. Tolipan,a-tolipan,{},,,,Before 1927,,,{},,,,,,"{""Reporter for The New York Ghost""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/A._Tolipan
Aamir Loonat,aamir-loonat,{},,,,31 August 1982 or earlier,,,{},Male,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aamir_Loonat
Abel Treetops,abel-treetops,{},,,,Before 1832,,,{},Male,,,,,"{""Con artist""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abel_Treetops
Aberforth Dumbledore,aberforth-dumbledore,"{""Ab""}",,Half-blood,,"Between 1 September 1883 and 31 August 1884, Mould-on-the-Wold, England, Great Britain (presumably)",,Bright blue,"{""Percival Dumbledore (father) †"", ""Kendra Dumbledore (mother) †"", ""Albus Dumbledore (older brother) †"", ""Ariana Dumbledore (youngest sister) †"", ""Aurelius Dumbledore (biological son)"", ""Honoria (aunt)"", ""Dumbledore family""}",Male,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/4/40/Aberforth_Dumbledore.jpg,"{""Owner and Barman of the Hog's Head Inn""}",,English,Goat,"{""Aurelius Dumbledore's mother (former lover)""}",,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Aberforth_Dumbledore
Abernathy,abernathy,{},,,,Before 1909 (likely),,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a6/Abernathy_COG.png,"{""Supervisor for the Wand Permit Office (formerly)""}",,American,,{},,Human,{},"{""Unknown length, wood and core (formerly)""}",,https://harrypotter.fandom.com/wiki/Abernathy
Abigail Nicola,abigail-nicola,{},,,,,,,{},Female,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abigail_Nicola
Abigail Pugh,abigail-pugh,{},,,,31 August 1982 or earlier,,,{},Female,,,Slytherin,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abigail_Pugh
Abigail R. Cankus,abigail-r-cankus,{},,,,,,,{},Female,,,,,"{""Author""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abigail_R._Cankus
Able Fleming,able-fleming,{},,,,"Before 1776, United States of America",,,{},Male,,,,,"{""President of the Magical Congress of the United States of America (c. 1770s-?)""}",,American,,{},,Human,"{""President""}",{},,https://harrypotter.fandom.com/wiki/Able_Fleming
Able Spudmore,able-spudmore,{},,,,In or before 1923,,,"{""Randolph Spudmore (son)"", ""Spudmore family""}",Male,,,,,"{""Broom-maker""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Able_Spudmore
Abraham,abraham,{},,,,,,,"{""Isaac (son)""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/b/b4/ScreamingFaceBook.jpg,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abraham
Abraham Grimblehawk,abraham-grimblehawk,{},,Half-blood,,,,,"{""Mathilda Grimblehawk (niece)"", ""Grimblehawk family""}",Male,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abraham_Grimblehawk
Abraham Peasegood,abraham-peasegood,{},,,,c. 18th century,,,"{""Arnold Peasegood (possibly)"", ""Peasegood family""}",Male,,,,,{},,,,{},,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Abraham_Peasegood
Abraham Potter,abraham-potter,{},,,,Pre 1677,Before reaching 'old age',,"{""Linfred of Stinchcombe (paternal ancestor) †"", ""Ignotus Peverell (paternal ancestor) †"", ""Paternal ancestor †"", ""Hardwin Potter (paternal ancestor) †"", ""Iolanthe Potter (née Peverell) (paternal ancestor) †"", ""At least one descendant (possibly)"", ""Potter family""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/1/10/AbrahamPotter.png,"{""Auror""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abraham_Potter
Abraham Ronen,abraham-ronen,{},,,,Before 1866 (likely),,Brown,"{""Father"", ""M. Ronen (wife)"", ""Ronen family""}",Male,Grey,6'1',Slytherin,https://static.wikia.nocookie.net/harrypotter/images/e/ee/Abraham_Ronen.png,"{""Charms Master at Hogwarts School of Witchcraft and Wizardry"", ""Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry""}",Married,British or Irish,,{},Light,Human,"{""Professor"", ""Charms Master"", ""Head of Slytherin House""}",{},,https://harrypotter.fandom.com/wiki/Abraham_Ronen
Abraham Ronen's father,abraham-ronen-s-father,{},,"Pure-blood, Half-blood, or Muggle-born",,Before 1848,,,"{""Abraham Ronen (son)"", ""M. Ronen (daughter-in-law)"", ""Ronen family""}",Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abraham_Ronen's_father
Abraxan at the Magical Creatures Reserve,abraxan-at-the-magical-creatures-reserve,{},,,,,,Black,{},,White,,,https://static.wikia.nocookie.net/harrypotter/images/9/93/AbraxanAtTheMagicalCreaturesReserve.jpg,{},,,,{},Palomino,Abraxan,{},{},,https://harrypotter.fandom.com/wiki/Abraxan_at_the_Magical_Creatures_Reserve
Abraxas Malfoy,abraxas-malfoy,{},,Pure-blood,,before 1936 (most likely),Pre 2 September 1996,,"{""Lucius Malfoy II (son)"", ""Narcissa Malfoy (née Black) (daughter-in-law)"", ""Draco Malfoy (grandson)"", ""Astoria Malfoy (née Greengrass) (granddaughter-in-law) †"", ""Armand Malfoy (paternal ancestor) †"", ""Nicholas Malfoy (paternal ancestor) †"", ""Lucius Malfoy I (paternal ancestor) †"", ""Brutus Malfoy (paternal ancestor) †"", ""Septimus Malfoy (paternal ancestor) †"", ""Malfoy family""}",Male,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/0/01/AbraxasMalfoy.png,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Abraxas_Malfoy
Aceline Faure,aceline-faure,{},,,,,,,{},,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aceline_Faure
Achilles Tolliver,achilles-tolliver,{},,,,Before 1910,,,{},Male,,,,,"{""Auror""}",,American,,"{""Porpentina Goldstein (dated)""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Achilles_Tolliver
